Identificação,Selo ,Escala,Resposta,Classificação Manual Pedagoga ,Resumo sobre a turma (GPT) ,Resumo Gemini,Resumo-API-Chat
,,,UFSC-EMB5600_01602_01605-2025-1-1,,,,
UFSC-EMB5600_01602_01605-2025-1-1,Primeiro-2025-1,,"Até o momento cobre os assuntos iniciais relacionados ao tema para que não haja brechas para o entendimento futuro da disciplina. Cobre os assuntos de maneira completa e objetiva, portanto, até o momento me encontro satisfeito.",,"O sentimento predominante entre os estudantes é altamente positivo. A maioria relata estar satisfeita ou muito satisfeita com a disciplina, destacando o caráter didático, introdutório e acessível das aulas. Há um reconhecimento forte da boa metodologia de ensino, da didática da professora e da forma como o conteúdo está sendo apresentado de maneira progressiva e compreensível, especialmente para iniciantes. Muitos alunos expressam entusiasmo e curiosidade em relação ao aprendizado de programação, mesmo entre aqueles que nunca tiveram contato anterior com o tema.
Além disso, há uma percepção de que a disciplina está construindo uma base sólida para o entendimento futuro de linguagens de programação mais complexas.","O sentimento geral da turma é extremamente positivo, de satisfação e entusiasmo em relação à disciplina, especialmente devido à fase inicial de nivelamento e à didática da professora. Muitos alunos, inclusive aqueles sem experiência prévia ou com resistência inicial à programação, estão se adaptando bem, gostando e se surpreendendo positivamente com o conteúdo. A maioria reconhece a importância da matéria para o futuro acadêmico e profissional.
A principal força da disciplina reside na excelente didática da professora e na forma como a introdução à lógica e aos fundamentos da programação está sendo conduzida, garantindo uma base sólida antes de entrar em linguagens complexas.",
,,,,,,,"Os estudantes expressaram uma percepção bastante positiva em relação à disciplina de programação, elogiando a didática e a abordagem da professora, que consegue introduzir os conceitos de forma clara e acessível, desde a lógica básica do funcionamento de um computador até questões práticas que tornam o aprendizado divertido. Muitos comentaram que as aulas têm sido didáticas e que a metodologia utilizada facilita a compreensão, além de contribuir para uma base sólida antes de avançar para conteúdos mais complexos. Alguns alunos destacaram a importância da prática em laboratório, que oferece suporte ao aprendizado e melhora a assimilação dos conteúdos. Embora haja um consenso sobre o ritmo lento das aulas, especialmente para nivelar os alunos com diferentes graus de conhecimento, isso é visto como uma estratégia necessária. Estudantes com pouca experiência anterior em programação se mostraram animados e satisfeitos com a possibilidade de aprender novos conceitos e relembrar outros já conhecidos, ressaltando a relevância da programação para o mercado de trabalho. Apesar das dificuldades iniciais, muitos demonstram disposição para aperfeiçoar suas habilidades e se aprofundar na disciplina, com expectativa de que os conteúdos abordados atendam às exigências profissionais futuras."
,,,,,,,
,Primeiro-2025-1,,"Achei bem didática forma como estão introduzindo a disciplina de programação para os alunos. Explicando como funciona a cabeça do computador e o primordial da programação de forma bem simples para gente conseguir entender.  A prof é super simpática, explica muito bem e, o mais importante, está construindo nossa forma de pensar e entender a logica de programação antes de logo já ensinar uma linguagem. Eu tive aulas de C+ e mds, a explicação era muito vaga e eu não consegui entender o todo da programação sabe. Já aqui a prof está nos dando uma base de entendimento sobre programação de uma forma bem clara, dinâmica e entendível sabe. Eu to amando as aulas praticas e adorei o joguinho da Elsa pra explicar como funciona as funções. Transforma a programação algo bem divertido.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"No momento, o conteúdo está sendo algo que já conheço, então estou achando bastante tranquila. Estou empolgada e na expectativa para começar a aprender e aplicar conteúdos mais complexos",,,,
