turma;resposta;sentimento;justificativa
UFSC-EMB5600_01602_01605-2025-1-1;Até o momento cobre os assuntos iniciais relacionados ao tema para que não haja brechas para o entendimento futuro da disciplina. Cobre os assuntos de maneira completa e objetiva, portanto, até o momento me encontro satisfeito.;Positiva;O sentimento final foi escolhido como positivo devido à satisfação expressa pelo estudante em relação à abordagem da disciplina.
UFSC-EMB5600_01602_01605-2025-1-1;Achei bem didática forma como estão introduzindo a disciplina de programação para os alunos. Explicando como funciona a cabeça do computador e o primordial da programação de forma bem simples para gente conseguir entender.  A prof é super simpática, explica muito bem e, o mais importante, está construindo nossa forma de pensar e entender a logica de programação antes de logo já ensinar uma linguagem. Eu tive aulas de C+ e mds, a explicação era muito vaga e eu não consegui entender o todo da programação sabe. Já aqui a prof está nos dando uma base de entendimento sobre programação de uma forma bem clara, dinâmica e entendível sabe. Eu to amando as aulas praticas e adorei o joguinho da Elsa pra explicar como funciona as funções. Transforma a programação algo bem divertido.;Misto;O sentimento final foi escolhido como Misto porque o texto contém tanto elogios à nova abordagem de ensino quanto críticas à experiência anterior com aulas de C+.
UFSC-EMB5600_01602_01605-2025-1-1;No momento, o conteúdo está sendo algo que já conheço, então estou achando bastante tranquila. Estou empolgada e na expectativa para começar a aprender e aplicar conteúdos mais complexos;Positiva;O sentimento final foi escolhido como positivo, pois a estudante expressa empolgação e tranquilidade em relação ao conteúdo, sem apresentar críticas ou frustrações.
UFSC-EMB5600_01602_01605-2025-1-1;Ótimo curso, bem explicado para quem não entende de programação. Professora com didática incrível e extremamente atenciosa.;Positiva;O sentimento final foi escolhido como positivo, pois o texto contém apenas elogios e aspectos favoráveis sobre o curso e a professora.
UFSC-EMB5600_01602_01605-2025-1-1;Primeira vez que aprendo sobre o mundo de programaçao, como futuro engenheiro achei muito interessante aprender como funciona um computador e sua linguagem, esta bem didatico por enquanto;Positiva;O sentimento final foi escolhido como positivo devido aos elogios sobre o aprendizado e a didática do curso, sem críticas ou aspectos desfavoráveis.
UFSC-EMB5600_01602_01605-2025-1-1;Estou satisfeito com a aula, gosto de aprender a lógica e as primeiras etapas da programação.;Positiva;O sentimento final foi escolhido como positivo porque o estudante expressa satisfação e gosto pela aula e pelo aprendizado.
UFSC-EMB5600_01602_01605-2025-1-1;Eu tenho muito pouco contato com programação, portanto para mim está sendo um sentimento novo. Até o momento estou gostando e me adaptando muito bem, buscarei praticar com os materiais disponibilizados e por fora também. Irei dar início a um minicurso de Python disponibilizado pela UFSC, com o intuito de aprender e me aprofundar ainda mais na matéria.;Positiva;O sentimento final foi escolhido como Positiva, pois a maioria das expressões indicam satisfação e disposição para aprender, apesar de mencionar a falta de contato anterior com programação.
UFSC-EMB5600_01602_01605-2025-1-1;"A disciplina até o devido momento esta sendo bem satisfatória, indo de acordo com minhas expectativas; Ademais, minha única ressalva, seria a expectativa de ao decorrer do curso, além de programação, também serem oferecidos conhecimentos relacionados aos conceitos diretamente entrelaçados ao uso da programação, como por exemplo: sistemas operacionais (ex: Linux), protocolos de redes, banco de dados (ex: SGBDs)e sistemas embarcados(ex: dispositivos IoT).";Misto;O texto apresenta sentimentos positivos sobre a disciplina, mas também expressa uma crítica em relação à falta de conteúdos adicionais esperados, resultando em um sentimento misto.
UFSC-EMB5600_01602_01605-2025-1-1;Não esperava que tivesse tantas aplicações dessa disciplina em meu curso, a professora que a leciona e ótima e estou conseguindo aprender e me aprofundar nos conteúdos.;Positiva;O sentimento final foi escolhido como Positiva, pois o texto expressa satisfação com a professora e o aprendizado, apesar de uma observação neutra sobre as aplicações da disciplina.
UFSC-EMB5600_01602_01605-2025-1-1;por enquanto estou entusiasmado para aprender a programar, mas ainda não aprendemos tanta coisa, a professora é bem gentil e acredito esta disciplina possa ver bem importante no mercado de trabalho;Misto;O sentimento final foi escolhido como Misto porque há uma expressão de entusiasmo e apreciação pela professora, mas também uma crítica sobre a quantidade de conteúdo aprendido até o momento.
UFSC-EMB5600_01602_01605-2025-1-1;estou ansiosa para entender melhor de programação por saber a importancia disso para o mercado de trabalho, acho que o ritmo da disciplina esta bom;Positiva;O sentimento final foi escolhido como positivo, pois a estudante expressa ansiedade e satisfação em relação ao aprendizado de programação e ao ritmo da disciplina.
UFSC-EMB5600_01602_01605-2025-1-1;Neste início de semestre sinto que as aulas estão ainda muito básicas. Mas entendo que um início vagaroso é necessário para um nivelamento na turma acerca dos conhecimentos em programação.;Misto;O sentimento final foi escolhido como Misto porque há uma crítica sobre a simplicidade das aulas, mas também uma compreensão da necessidade desse início para nivelamento.
UFSC-EMB5600_01602_01605-2025-1-1;Até então estou adorando, a aula em que usamos a programação em blocos com certeza foi minha favorita por ser divertida e educativa ao mesmo tempo, rever o scratch foi incrível, a professora também ajuda muito a gostar da matéria, passando um ar mais leve pra algo que poderia assustar alguns que nunca programaram antes.;Positiva;O sentimento final foi escolhido como Positiva, pois a maioria dos trechos expressa satisfação e elogios, apesar de uma leve crítica sobre a dificuldade que alguns podem sentir.
UFSC-EMB5600_01602_01605-2025-1-1;Sinto que a disciplina, até o momento, está introduzindo de forma bem didática a matéria, promovendo uma base boa e necessária para o que o o currículo do curso exige futuramente (Prog 1 e 2).;Positiva;O sentimento final foi escolhido como positivo, pois o texto destaca aspectos favoráveis sobre a didática da disciplina e a relevância da base que está sendo construída.
UFSC-EMB5600_01602_01605-2025-1-1;me sinto animado com os conteudo;Positiva;O sentimento final foi escolhido como Positiva porque a frase expressa animação em relação ao conteúdo, indicando satisfação.
UFSC-EMB5600_01602_01605-2025-1-1;Me sinto satisfeito, pois a metodologia de ensino e as praticas são bem efetivas para o aprendizado.;Positiva;O sentimento final foi escolhido como positivo devido à expressão de satisfação com a metodologia de ensino e a eficácia das práticas para o aprendizado.
